date;plot;Discharge;Thermometer;Temp4;Temp1;Temp2;Temp3;Moisture_EC;Moisture;Temp;EC
04-08-2016;1;;2;17,7;17;17,1;17,4;4;0,425;18,1;0,327
04-08-2016;2;;2;16,7;16,4;16,5;16,9;4;0,437;17,4;0,343
05-08-2016;1;;2;25,6;20,1;17,5;17,3;4;0,403;28,4;0,318
05-08-2016;2;;2;24,9;20,1;17,3;16,9;4;0,475;29,1;0,323
06-08-2016;1;;2;20,4;19,1;17,9;17,8;4;0,451;22,1;0,488
06-08-2016;2;;2;22,5;19,4;17,4;17,1;4;0,334;26,5;0,188
07-08-2016;1;;2;19,1;18,1;17,8;17,9;4;0,49;22,2;0,32
07-08-2016;2;12,21;2;21,8;18,7;17,6;17,3;4;0,441;22,9;0,294
08-08-2016;1;;2;20,9;18;17,3;17,4;4;0,456;24,9;0,337
08-08-2016;2;40,38;2;20,6;18;17;17;4;0,311;22,5;0,134
10-08-2016;1;;2;17,6;16,3;16,2;16,5;4;0,254;20,6;0,074
10-08-2016;2;14,19;2;17,9;16,5;16,1;16,2;4;0,264;19,2;0,098
11-08-2016;1;;2;18,3;16,9;16,2;16,4;4;0,327;19,2;0,196
11-08-2016;2;10,59;2;17,1;16,7;15,9;15,9;4;0,467;17,5;0,412
12-08-2016;1;;2;17,7;15,4;14,8;15,5;4;0,301;22,9;0,164
12-08-2016;2;7,06;2;18,4;16;14,8;14,9;4;0,282;19,6;0,283
15-08-2016;1;;2;18;16,2;15,6;15,9;4;0,514;22,2;0,459
15-08-2016;2;32,73;2;18,1;16,7;15,6;15,5;4;0,418;23,7;0,335
18-08-2016;1;;2;17,3;15,6;15;15,1;4;0,519;20;0,212
18-08-2016;2;;2;18,6;16,5;15,2;14,9;4;0,483;20,1;0,264
19-08-2016;1;;2;19,1;16,4;15,3;15,4;4;0,486;23,1;0,252
19-08-2016;2;;2;19,6;17,4;15,7;15,2;4;0,375;21,2;0,151
22-08-2016;1;;2;18,5;17,6;17,1;16,9;4;0,395;20,2;0,161
22-08-2016;2;;2;18,8;17,7;16,9;16,5;4;;;
25-08-2016;1;103,45;2;22,8;18,6;16,3;16,2;4;0,362;26,7;0,138
25-08-2016;2;69,77;2;22,5;18,6;16,6;16,1;4;0,412;25,1;0,242
29-08-2016;1;12,15;2;15,6;15,7;16,1;16,6;4;0,457;15,7;0,261
29-08-2016;2;6,42;2;16,8;16,1;16;16,3;4;0,448;17,8;0,24
05-09-2016;1;133,33;2;16,8;15,9;15;15,2;4;0,474;17,8;0,267
05-09-2016;2;;2;18,6;16,6;15,3;15,2;4;0,442;20,2;0,251
12-09-2016;1;77,09;2;16,4;14,1;13,6;14,1;4;0,375;17,5;0,219
12-09-2016;2;38,41;2;16,1;14,5;13,7;13,9;4;0,312;16,8;0,204
17-09-2016;1;83,33;2;20,9;17,5;16,3;16,1;4;0,398;24,5;0,259
17-09-2016;2;23,92;2;22,8;19,9;16,7;16;4;0,4;25,7;0,206
22-09-2016;1;72,72;2;13,9;12,3;11,7;12,2;4;0,334;14,4;0,094
22-09-2016;2;16,78;2;14;13;11,7;11,9;4;0,439;17;0,36
29-09-2016;1;76,19;2;15,5;13,3;12;12;4;0,4;16,6;0,311
29-09-2016;2;13,64;2;15,3;13,5;12,1;12,1;4;0,345;16,2;0,272
06-10-2016;1;57,32;2;10,8;8,1;8,3;9,1;4;0,407;10,6;0,285
06-10-2016;2;8,53;2;12,2;8,8;8,5;9,1;4;0,439;15,2;0,329
13-10-2016;1;50,07;2;3,9;3,9;4,9;6,4;4;0,239;5,1;0,039
13-10-2016;2;5,08;2;4,7;4,5;5,3;6,3;4;0,331;5,6;0,228
20-10-2016;1;69,95;2;2,3;1,3;2,8;4,4;4;0,377;4,8;0,235
20-10-2016;2;2,31;2;2,2;1,3;2,8;4,3;4;0,297;6,8;0,229
27-10-2016;1;;2;4,6;3,4;3,3;4,1;4;0,449;5,9;0,468
27-10-2016;2;;2;4,6;3,9;3,6;4;4;0,434;6,2;0,46
24-11-2016;1;;2;3,8;3,8;3,7;3,7;4;;;
24-11-2016;2;;2;3,6;3,9;4;4,2;4;0,523;3,5;0,115
29-11-2016;1;;2;;;;;4;0,267;-1,2;0,028
29-11-2016;2;;2;;;;;4;0,228;-3,5;0,012
23-12-2016;1;;2;1,4;0,1;0,2;0,6;4;0,597;3,1;0,222
23-12-2016;2;;2;1,2;0,2;0,5;0,9;4;0,61;2,7;0,187
09-01-2017;1;;;;;;;;;;
09-01-2017;2;;;;;;;;;;
19-01-2017;1;;2;0,3;0;-0,1;;4;0,395;1,3;0,087
19-01-2017;2;;2;0,3;-0,3;-0,3;;4;0,28;1,6;0,033
27-01-2017;1;;2;0,2;-0,3;-0,3;;4;;;
27-01-2017;2;;2;-0,3;-0,3;-0,3;;4;0,252;1,6;0,021
03-02-2017;1;;2;-0,1;-0,1;-0,2;;4;0,215;2,5;0,012
03-02-2017;2;;2;-0,1;-0,3;-0,3;;;;;
10-02-2017;1;;;;;;;;;;
10-02-2017;2;;;;;;;;;;
17-02-2017;1;;;;;;;;;;
17-02-2017;2;;;;;;;;;;
10-03-2017;1;;;0,5;;;;;;;
10-03-2017;2;;;0,7;;;;;;;
17-03-2017;1;;;0,4;;;;;;;
17-03-2017;2;;;0,6;;;;;;;
24-03-2017;1;;;-0,1;3,9;2,5;1,4;;0,535;4,7;0,208
24-03-2017;2;;;0,1;9,9;5,8;3,6;;0,517;9,5;0,175
31-03-2017;1;;;0,9;1,6;0,6;0,7;;;;
31-03-2017;2;;;1,1;1,5;0,7;0,9;;;;
07-04-2017;1;;;7;4,9;3,4;3,8;;0,458;11,5;0,343
07-04-2017;2;;;9,1;6,1;3,8;3,8;;0,475;10,6;0,32
14-04-2017;1;;;7;4,9;3,4;3,8;1;0,461;7,9;0,35
14-04-2017;2;;;6,5;5,3;3,6;3,7;1;0,452;7,2;0,302
21-04-2017;1;;3;4,5;4,2;3,3;3,3;2;0,493;10,4;0,271
21-04-2017;2;;3;6,3;5,7;3,3;3,2;2;0,488;9,3;0,297
28-04-2017;1;;3;7,6;8,9;4,6;4,5;2;0,419;14,4;0,249
28-04-2017;2;;3;9,1;8,2;5,1;4,5;2;0,447;14,1;0,278
06-05-2017;1;;3;13,3;12,8;8,6;7,7;;0,331;16,9;0,125
06-05-2017;2;;3;12,2;11,7;8,8;8,2;;0,379;15,1;0,187
12-05-2017;1;;3;12,1;10,1;7,2;6,7;;0,344;16,9;0,08
12-05-2017;2;;3;10,8;10,3;7,2;6,4;;0,377;13,6;0,159
19-05-2017;1;;3;17,1;13,6;11,1;10,4;;0,286;30,6;0,086
19-05-2017;2;;3;15,7;14,6;11,6;10,5;;0,278;28,2;0,049
26-05-2017;1;;3;15,3;15,7;13,9;12,7;;0,224;20,4;0,18
26-05-2017;2;;3;15;17,3;13,8;13;;0,319;23,7;0,233
02-06-2017;1;;;10,1;9,6;10;10,4;;0,252;9,7;0,045
02-06-2017;2;;;11,6;11,6;11,9;11,9;;0,351;12,3;0,116
09-06-2017;1;;3;16,7;16,1;13,6;13;;0,455;17,8;0,5
09-06-2017;2;;3;14,6;14,2;12,5;12,1;;0,44;15,7;0,483
21-06-2017;1;;;13,1;12,9;12,6;12,7;;0,412;14,6;0,332
21-06-2017;2;;;16,2;15,8;14,5;14,4;;0,461;17,3;0,307
27-06-2017;1;;3;16;16,9;13,6;12,9;;0,456;20,8;0,499
27-06-2017;2;;3;13,8;13,6;12,6;12,3;;0,44;16,5;0,369
07-07-2017;1;;3;12,1;12,1;11,8;12,2;2;0,496;22,7;0,334
07-07-2017;2;;3;13,9;14,5;12,8;12,8;2;0,425;18,7;0,336
12-07-2017;1;;3;15,6;15,9;14,6;14,4;;;;
12-07-2017;2;;3;16,5;16,1;14,4;14,2;;;;
02-08-2017;1;;3;16,1;16,5;15;14,9;;;;
02-08-2017;2;;3;17,5;16,9;15,6;15,4;;;;
09-08-2017;1;;3;15,5;15,6;14,6;14,7;;0,518;19,9;0,186
09-08-2017;2;;3;16,2;16,2;15;14,9;;0,461;21,9;0,313
14-08-2017;1;;3;17,1;16,6;15,9;16;;0,491;21,1;0,276
14-08-2017;2;;3;17,5;16,7;16;15,9;;0,468;18,6;0,224
