date;location;plot;NH4_N;NO3_N;PO4-P;Total_P;pH;TN;TOC;DOC;TC;DC;TIC;DIC;DN
05-08-2016;kehtna;1;1,087;0,496;5,146;39,098;8,310;1,720;8,833;2,967;66,000;60,000;57,000;57,000;1,500
05-08-2016;kehtna;2;0,893;0,073;14,584;49,583;8,340;1,090;10,067;4,300;70,000;64,333;60,000;60,000;1,003
06-08-2016;kehtna;1;0,535;0,267;5,629;40,282;7,610;1,423;9,333;3,333;73,333;67,333;64,000;64,000;1,123
06-08-2016;kehtna;2;0,536;0,633;20,855;57,095;8,010;2,153;11,333;6,767;81,333;77,000;70,000;70,000;1,653
07-08-2016;kehtna;1;0,638;0,501;5,016;40,468;7,950;1,373;9,100;8,500;72,333;71,667;63,000;63,000;1,190
07-08-2016;kehtna;2;0,717;0,091;18,407;53,965;7,710;1,470;10,333;6,467;81,000;77,333;70,667;70,667;1,230
08-08-2016;kehtna;1;0,619;0,469;6,363;43,271;7,260;1,620;9,733;4,067;66,000;60,667;56,667;56,667;1,430
08-08-2016;kehtna;2;0,616;0,301;21,252;57,027;8,150;1,620;9,767;6,667;77,333;73,667;67,333;67,333;1,380
10-08-2016;kehtna;1;0,609;0,291;4,935;37,712;7,760;1,263;3,233;2,700;77,333;76,333;74,000;74,000;1,100
10-08-2016;kehtna;2;0,590;0,140;18,227;52,694;7,990;1,343;6,233;4,600;71,333;70,000;65,000;65,000;1,110
11-08-2016;kehtna;1;0,839;0,263;5,112;36,978;8,270;1,330;3,033;2,600;62,000;61,667;59,000;59,000;1,063
11-08-2016;kehtna;2;0,733;0,091;17,387;49,748;8,170;1,223;5,200;4,267;72,000;71,000;67,000;67,000;0,983
12-08-2016;kehtna;1;0,798;0,201;5,003;36,331;8,120;1,300;4,667;2,533;64,000;61,667;59,667;59,667;1,140
12-08-2016;kehtna;2;0,678;0,091;16,393;51,934;8,330;1,340;4,700;3,433;71,333;70,333;67,000;67,000;0,887
15-08-2016;kehtna;1;0,895;0,423;5,437;38,900;8,070;1,453;6,100;3,567;67,667;67,667;61,667;63,333;1,440
15-08-2016;kehtna;2;0,917;0,223;18,496;53,353;8,340;1,457;11,667;9,267;74,667;74,000;63,000;65,333;1,457
12-09-2016;kehtna;1;0,574;1,611;5,849;30,294;7,200;3,453;7,033;2,567;63,333;57,000;56,333;54,000;3,320
12-09-2016;kehtna;2;0,507;4,122;13,982;38,648;7,720;6,353;9,500;3,767;70,667;62,000;61,333;58,000;6,087
17-09-2016;kehtna;1;0,525;0,953;6,593;32,157;7,180;1,599;5,478;2,733;73,333;71,000;68,333;68,000;1,547
17-09-2016;kehtna;2;0,612;2,763;13,202;37,896;7,880;4,542;8,634;4,067;86,667;81,000;77,667;77,000;3,753
22-09-2016;kehtna;1;0,651;0,701;5,516;29,859;7,270;1,387;3,315;2,533;71,000;69,000;67,707;66,000;1,303
22-09-2016;kehtna;2;0,550;2,106;7,007;31,912;8,180;3,130;5,368;3,967;55,000;53,000;49,667;49,000;2,920
29-09-2016;kehtna;1;0,615;0,586;6,108;29,445;7,320;1,335;2,867;2,600;66,333;66,333;64,000;64,000;1,187
29-09-2016;kehtna;2;0,660;1,604;16,076;38,487;7,890;2,360;4,233;3,767;76,000;75,000;72,000;71,333;2,035
06-10-2016;kehtna;1;0,821;0,277;6,448;30,616;7,880;1,035;2,767;2,150;64,500;64,167;62,167;62,167;0,897
06-10-2016;kehtna;2;0,693;1,024;12,043;36,367;8,045;1,673;3,683;2,967;75,000;74,333;71,667;71,667;1,572
13-10-2016;kehtna;1;0,657;0,268;7,388;30,704;7,820;0,946;3,533;1,800;70,333;68,000;66,333;66,000;0,874
13-10-2016;kehtna;2;0,746;1,026;8,688;32,433;7,980;1,851;4,500;2,533;68,667;66,667;64,333;64,333;1,753
20-10-2016;kehtna;1;0,493;0,268;6,806;31,485;7,910;0,744;6,500;1,867;62,667;58,333;56,333;56,333;0,755
20-10-2016;kehtna;2;0,508;0,658;15,593;38,884;8,150;1,407;6,200;2,267;71,333;67,333;65,333;65,333;1,193
29-11-2016;kehtna;1;;;;;;9,833;3,700;3,700;54,000;53,000;50,000;49,000;9,500
29-11-2016;kehtna;2;;;;;;19,000;5,500;4,933;53,000;52,000;48,000;47,000;18,000
09-12-2016;kehtna;1;;;;;;9,833;3,700;3,700;54,000;53,000;50,000;49,300;9,498
09-12-2016;kehtna;2;;;;;;19,000;5,500;4,933;53,000;52,000;48,000;47,067;18,000
27-01-2017;kehtna;1;;;;;;14,000;11,000;10,000;75,000;74,000;64,000;64,000;12,000
27-01-2017;kehtna;2;;;;;;7,200;2,400;2,300;71,000;71,000;69,000;69,000;7,200
09-03-2017;kehtna;1;;;;;;5,300;3,100;3,000;83,000;83,000;80,000;80,000;5,300
09-03-2017;kehtna;2;;;;;;12,000;3,800;3,800;81,000;81,000;77,000;77,000;12,000
11-05-2017;kehtna;1;;;;;;5,900;5,400;5,400;68,000;68,000;63,000;63,000;5,900
11-05-2017;kehtna;2;;;;;;12,000;7,000;7,000;86,000;86,000;76,000;76,000;12,000
16-08-2017;Väätsa;1;;;;;;2,100;4,400;2,600;76,000;75,000;72,000;72,000;2,100
16-08-2017;Väätsa;2;;;;;;3,500;2,400;1,200;73,000;72,000;71,000;71,000;3,400
26-09-2017;kehtna;1;;;;;;2,900;7,200;4,000;107,000;103,000;100,000;99,000;2,600
26-09-2017;kehtna;2;;;;;;3,400;3,300;2,200;107,000;106,000;104,000;104,000;3,100
